ensgid	gene_name	hg38_chr	hg38_start0	hg38_end	hg38_strand	hg19_chr	hg19_start0	hg19_end	hg19_strand
ENSG00000170145	SIK2	chr11	111602403	111730855	+	chr11	111473127	111601579	+
ENSG00000137713	PPP2R1B	chr11	111726907	111766658	-	chr11	111597631	111637382	-
ENSG00000086848	ALG9	chr11	111782194	111872405	-	chr11	111652918	111743129	-
ENSG00000255561	FDXACB1	chr11	111874055	111881243	-	chr11	111744779	111751967	-
ENSG00000137720	CFAP68	chr11	111878934	111885975	+	chr11	111749658	111756699	+
ENSG00000109846	CRYAB	chr11	111908563	111923722	-	chr11	111779287	111794446	-
ENSG00000170276	HSPB2	chr11	111912158	111914093	+	chr11	111782882	111784817	+
ENSG00000149300	C11orf52	chr11	111918031	111926871	+	chr11	111788755	111797595	+
ENSG00000150764	DIXDC1	chr11	111927143	112022653	+	chr11	111797867	111893377	+
ENSG00000150768	DLAT	chr11	112025032	112064404	+	chr11	111895756	111935128	+
ENSG00000150773	PIH1D2	chr11	112063217	112074274	-	chr11	111933941	111944998	-
ENSG00000150776	NKAPD1	chr11	112074085	112085152	+	chr11	111944809	111955876	+
ENSG00000150779	TIMM8B	chr11	112084799	112086798	-	chr11	111955523	111957522	-
ENSG00000204370	SDHD	chr11	112086823	112120016	+	chr11	111957547	111990739	+
ENSG00000150782	IL18	chr11	112143250	112164106	-	chr11	112013973	112034829	-
ENSG00000150783	TEX12	chr11	112167371	112172556	+	chr11	112038094	112043279	+
ENSG00000197580	BCO2	chr11	112175471	112225877	+	chr11	112046194	112096600	+
ENSG00000150787	PTS	chr11	112226366	112269955	+	chr11	112097089	112140678	+
ENSG00000188771	PLET1	chr11	112248152	112260860	-	chr11	112118875	112131583	-
ENSG00000149294	NCAM1	chr11	112961274	113278436	+	chr11	112831996	113149158	+
ENSG00000149292	TTC12	chr11	113314578	113383544	+	chr11	113185300	113254266	+
ENSG00000170209	ANKK1	chr11	113387778	113400416	+	chr11	113258500	113271138	+
ENSG00000149295	DRD2	chr11	113409604	113476402	-	chr11	113280326	113347124	-
ENSG00000166682	TMPRSS5	chr11	113687542	113706382	-	chr11	113558264	113577104	-
ENSG00000086827	ZW10	chr11	113733182	113773746	-	chr11	113603904	113644468	-
ENSG00000228607	CLDN25	chr11	113779795	113780485	+	chr11	113650517	113651207	+
ENSG00000048028	USP28	chr11	113797869	113875590	-	chr11	113668591	113746312	-
ENSG00000149305	HTR3B	chr11	113904795	113949079	+	chr11	113775517	113819801	+
ENSG00000166736	HTR3A	chr11	113975074	113990313	+	chr11	113845796	113861035	+
ENSG00000109906	ZBTB16	chr11	114058334	114256765	+	chr11	113929056	114127487	+
ENSG00000166741	NNMT	chr11	114257764	114314329	+	chr11	114128486	114185051	+
ENSG00000180425	C11orf71	chr11	114391442	114400511	-	chr11	114262164	114271233	-
ENSG00000076053	RBM7	chr11	114400029	114414203	+	chr11	114270751	114284925	+
ENSG00000076043	REXO2	chr11	114439385	114450296	+	chr11	114310107	114321018	+
ENSG00000095110	NXPE1	chr11	114518841	114559888	-	chr11	114389563	114430610	-
ENSG00000137634	NXPE4	chr11	114570590	114598282	-	chr11	114441312	114469004	-
ENSG00000204361	NXPE2	chr11	114678526	114707069	+	chr11	114549248	114577791	+
ENSG00000182985	CADM1	chr11	115169217	115504957	-	chr11	115039937	115375675	-
ENSG00000137656	BUD13	chr11	116748169	116773039	-	chr11	116618885	116643755	-
ENSG00000109917	ZPR1	chr11	116773798	116788046	-	chr11	116644514	116658762	-
ENSG00000110243	APOA5	chr11	116789013	116793026	-	chr11	116659729	116663742	-
ENSG00000110244	APOA4	chr11	116820699	116823304	-	chr11	116691415	116694020	-
ENSG00000110245	APOC3	chr11	116827018	116833343	+	chr11	116697734	116704059	+
ENSG00000118137	APOA1	chr11	116835749	116838203	-	chr11	116706465	116708919	-
ENSG00000160584	SIK3	chr11	116843401	117098445	-	chr11	116714117	116969161	-
ENSG00000168092	PAFAH1B2	chr11	117144283	117176894	+	chr11	117014999	117047610	+
ENSG00000149577	SIDT2	chr11	117178735	117197445	+	chr11	117049451	117068161	+
ENSG00000149591	TAGLN	chr11	117197508	117207464	+	chr11	117068224	117078180	+
ENSG00000160613	PCSK7	chr11	117204336	117232528	-	chr11	117075052	117103244	-
ENSG00000167257	RNF214	chr11	117232153	117287429	+	chr11	117102869	117158145	+
ENSG00000186318	BACE1	chr11	117285231	117316286	-	chr11	117155947	117187002	-
ENSG00000110274	CEP164	chr11	117314556	117413605	+	chr11	117185272	117284321	+
ENSG00000177103	DSCAML1	chr11	117427771	117817525	-	chr11	117298487	117688240	-
ENSG00000137731	FXYD2	chr11	117800838	117828698	-	chr11	117671553	117699413	-
ENSG00000137726	FXYD6	chr11	117836975	117877675	-	chr11	117707690	117748390	-
ENSG00000137747	TMPRSS13	chr11	117900640	117929459	-	chr11	117771355	117800174	-
ENSG00000110324	IL10RA	chr11	117986369	118003037	+	chr11	117857084	117873752	+
ENSG00000255274	SMIM35	chr11	118003633	118088299	-	chr11	117874348	117959014	-
ENSG00000137648	TMPRSS4	chr11	118077011	118125510	+	chr11	117947726	117996225	+
ENSG00000177098	SCN4B	chr11	118133376	118152888	-	chr11	118004091	118023603	-
ENSG00000149575	SCN2B	chr11	118162805	118176639	-	chr11	118033520	118047354	-
ENSG00000160593	JAML	chr11	118193724	118226323	-	chr11	118064439	118097038	-
ENSG00000160588	MPZL3	chr11	118226689	118252365	-	chr11	118097404	118123080	-
ENSG00000149573	MPZL2	chr11	118253415	118264536	-	chr11	118124130	118135251	-
ENSG00000198851	CD3E	chr11	118304729	118316175	+	chr11	118175444	118186890	+
ENSG00000167286	CD3D	chr11	118334536	118342705	-	chr11	118205251	118213420	-
ENSG00000160654	CD3G	chr11	118344343	118355161	+	chr11	118215058	118225876	+
ENSG00000110344	UBE4A	chr11	118359586	118399211	+	chr11	118230301	118269926	+
ENSG00000167283	ATP5MG	chr11	118401345	118433278	+	chr11	118272060	118303993	+
ENSG00000118058	KMT2A	chr11	118436455	118526832	+	chr11	118307170	118397547	+
ENSG00000172425	TTC36	chr11	118527436	118531197	+	chr11	118398151	118401912	+
ENSG00000149582	TMEM25	chr11	118531040	118547280	+	chr11	118401755	118417995	+
ENSG00000118096	IFT46	chr11	118544527	118572970	-	chr11	118415242	118443685	-
ENSG00000095139	ARCN1	chr11	118572389	118603033	+	chr11	118443104	118473748	+
ENSG00000019144	PHLDB1	chr11	118606395	118658038	+	chr11	118477110	118528748	+
ENSG00000118094	TREH	chr11	118657315	118679690	-	chr11	118528025	118550399	-
ENSG00000110367	DDX6	chr11	118747762	118791226	-	chr11	118618471	118661935	-
ENSG00000160683	CXCR5	chr11	118883891	118897787	+	chr11	118754600	118768496	+
ENSG00000186174	BCL9L	chr11	118893874	118925926	-	chr11	118764583	118796635	-
ENSG00000110375	UPK2	chr11	118925163	118958559	+	chr11	118795872	118829269	+
ENSG00000176302	FOXR1	chr11	118971711	118981287	+	chr11	118842421	118851997	+
ENSG00000186166	CENATAC	chr11	118998137	119015793	+	chr11	118868847	118886503	+
ENSG00000118181	RPS25	chr11	119015507	119018724	-	chr11	118886217	118889434	-
ENSG00000196655	TRAPPC4	chr11	119018732	119025454	+	chr11	118889442	118896164	+
ENSG00000137700	SLC37A4	chr11	119023750	119030906	-	chr11	118894460	118901616	-
ENSG00000149428	HYOU1	chr11	119044184	119057252	-	chr11	118914895	118927963	-
ENSG00000160695	VPS11	chr11	119067788	119082753	+	chr11	118938499	118953463	+
ENSG00000256269	HMBS	chr11	119084860	119093834	+	chr11	118955570	118964544	+
ENSG00000188486	H2AX	chr11	119093873	119095465	-	chr11	118964583	118966175	-
ENSG00000172269	DPAGT1	chr11	119096024	119108331	-	chr11	118966734	118979041	-
ENSG00000172375	C2CD2L	chr11	119102197	119118544	+	chr11	118972907	118989254	+
ENSG00000172273	HINFP	chr11	119121508	119136059	+	chr11	118992218	119006769	+
ENSG00000172350	ABCG4	chr11	119149051	119162653	+	chr11	119019761	119033362	+
ENSG00000160703	NLRX1	chr11	119166480	119184017	+	chr11	119037189	119054726	+
ENSG00000172367	NHERF4	chr11	119185456	119190223	+	chr11	119056165	119060932	+
ENSG00000248712	DRC12	chr11	119190054	119196769	-	chr11	119060763	119067479	-
ENSG00000110395	CBL	chr11	119206297	119313926	+	chr11	119077007	119184636	+
ENSG00000076706	MCAM	chr11	119307971	119321521	-	chr11	119178681	119192231	-
ENSG00000173456	RNF26	chr11	119334526	119337309	+	chr11	119205236	119208019	+
ENSG00000223953	C1QTNF5	chr11	119338941	119340940	-	chr11	119209651	119211650	-
ENSG00000235718	MFRP	chr11	119338941	119346705	-	chr11	119209651	119217415	-
ENSG00000036672	USP2	chr11	119355214	119381711	-	chr11	119225924	119252421	-
ENSG00000154096	THY1	chr11	119415475	119424985	-	chr11	119286185	119295695	-
ENSG00000110400	NECTIN1	chr11	119623407	119729200	-	chr11	119494119	119599910	-
ENSG00000137699	TRIM29	chr11	120111285	120185529	-	chr11	119981993	120056237	-
ENSG00000184232	OAF	chr11	120211031	120230334	+	chr11	120081739	120101043	+
ENSG00000137709	POU2F3	chr11	120236639	120319945	+	chr11	120107348	120190654	+
ENSG00000181264	TLCD5	chr11	120325179	120333686	+	chr11	120195888	120204395	+
ENSG00000196914	ARHGEF12	chr11	120336237	120489937	+	chr11	120206946	120360646	+
ENSG00000149403	GRIK4	chr11	120511716	120988906	+	chr11	120382425	120859615	+
ENSG00000154114	TBCEL	chr11	121024071	121090776	+	chr11	120894780	120961485	+
ENSG00000109927	TECTA	chr11	121101242	121191490	+	chr11	120971951	121062199	+
ENSG00000109929	SC5D	chr11	121292680	121313410	+	chr11	121163389	121184119	+
ENSG00000137642	SORL1	chr11	121452313	121633763	+	chr11	121323022	121504472	+
ENSG00000259571	BLID	chr11	122115339	122116215	-	chr11	121986047	121986923	-
ENSG00000154127	UBASH3B	chr11	122655721	122814473	+	chr11	122526429	122685181	+
ENSG00000109943	CRTAM	chr11	122829481	122872643	+	chr11	122700189	122743351	+
ENSG00000109944	JHY	chr11	122882682	122963865	+	chr11	122753390	122834573	+
ENSG00000188909	BSX	chr11	122977569	122981834	-	chr11	122848277	122852542	-
ENSG00000109971	HSPA8	chr11	123057484	123063230	-	chr11	122928192	122933938	-
ENSG00000166250	CLMP	chr11	123069852	123196697	-	chr11	122940560	123067405	-
ENSG00000023171	GRAMD1B	chr11	123358250	123627774	+	chr11	123228958	123498482	+
ENSG00000166257	SCN3B	chr11	123629186	123655244	-	chr11	123499894	123525952	-
ENSG00000166261	ZNF202	chr11	123723913	123742513	-	chr11	123594621	123613221	-
ENSG00000221931	OR6X1	chr11	123753579	123754518	-	chr11	123624287	123625226	-
ENSG00000196099	OR6M1	chr11	123805407	123806349	-	chr11	123676115	123677057	-
ENSG00000204300	TMEM225	chr11	123882919	123885670	-	chr11	123753626	123756377	-
ENSG00000181518	OR8D4	chr11	123902166	123909229	+	chr11	123772873	123779936	+
ENSG00000171014	OR4D5	chr11	123939616	123940573	+	chr11	123810323	123811280	+
ENSG00000181499	OR6T1	chr11	123942866	123943838	-	chr11	123813573	123814545	-
ENSG00000196248	OR10S1	chr11	123976660	123977781	-	chr11	123847367	123848488	-
ENSG00000198674	OR10G6	chr11	123994162	123995161	-	chr11	123864869	123865868	-
ENSG00000254737	OR10G4	chr11	124012996	124018732	+	chr11	123883703	123889439	+
ENSG00000236981	OR10G9	chr11	124023012	124023948	+	chr11	123893719	123894655	+
ENSG00000234560	OR10G8	chr11	124026797	124030634	+	chr11	123897504	123901341	+
ENSG00000182634	OR10G7	chr11	124036012	124041325	-	chr11	123906719	123912032	-
ENSG00000110002	VWA5A	chr11	124115403	124147721	+	chr11	123986110	124018428	+
ENSG00000197309	OR10D3	chr11	124183344	124188780	+	chr11	124054051	124059487	+
ENSG00000255425	OR8G3	chr11	124211706	124215828	+	chr11	124082413	124086535	+
ENSG00000181214	OR8G2P	chr11	124224731	124225666	+	chr11	124095436	124096371	+
ENSG00000197849	OR8G1	chr11	124241094	124254364	+	chr11	124111834	124124260	+
ENSG00000255298	OR8G5	chr11	124256375	124266224	+	chr11	124126271	124136120	+
ENSG00000196341	OR8D1	chr11	124302830	124315099	-	chr11	124172726	124184995	-
ENSG00000279116	OR8D2	chr11	124319261	124320197	-	chr11	124189157	124190093	-
ENSG00000284680	OR8B2	chr11	124382393	124384499	-	chr11	124252289	124254395	-
ENSG00000284609	OR8B3	chr11	124395533	124399024	-	chr11	124265429	124268920	-
ENSG00000280090	OR8B4	chr11	124423941	124424871	-	chr11	124293837	124294767	-
ENSG00000197125	OR8B8	chr11	124437444	124445696	-	chr11	124307340	124315592	-
ENSG00000170953	OR8B12	chr11	124539634	124545333	-	chr11	124409530	124415229	-
ENSG00000196119	OR8A1	chr11	124566659	124582942	+	chr11	124436555	124452838	+
ENSG00000154143	PANX3	chr11	124611427	124620356	+	chr11	124481323	124490252	+
ENSG00000154144	TBRG1	chr11	124622835	124635926	+	chr11	124492731	124505822	+
ENSG00000110013	SIAE	chr11	124633112	124695707	-	chr11	124503008	124565603	-
ENSG00000064199	SPA17	chr11	124673795	124698309	+	chr11	124543691	124568205	+
ENSG00000154146	NRGN	chr11	124739938	124747210	+	chr11	124609834	124617106	+
ENSG00000019102	VSIG2	chr11	124747471	124752255	-	chr11	124617367	124622151	-
ENSG00000149564	ESAM	chr11	124752582	124762315	-	chr11	124622478	124632211	-
ENSG00000120458	MSANTD2	chr11	124766497	124800706	-	chr11	124636393	124670602	-
ENSG00000154134	ROBO3	chr11	124865431	124881471	+	chr11	124735327	124751367	+
ENSG00000154133	ROBO4	chr11	124883665	124898500	-	chr11	124753561	124768396	-
ENSG00000165478	HEPACAM	chr11	124919204	124936431	-	chr11	124789100	124806327	-
ENSG00000221932	HEPN1	chr11	124919249	124920677	+	chr11	124789145	124790573	+
ENSG00000149548	CCDC15	chr11	124954094	125041649	+	chr11	124823990	124911545	+
ENSG00000134955	SLC37A2	chr11	125063301	125090516	+	chr11	124933197	124960412	+
ENSG00000150433	TMEM218	chr11	125094385	125111870	-	chr11	124964281	124981766	-
ENSG00000165495	PKNOX2	chr11	125164536	125434287	+	chr11	125034432	125304183	+
ENSG00000149557	FEZ1	chr11	125442880	125592578	-	chr11	125312776	125462473	-
ENSG00000149547	EI24	chr11	125568247	125584690	+	chr11	125438143	125454585	+
ENSG00000134910	STT3A	chr11	125591711	125625215	+	chr11	125461606	125495110	+
ENSG00000149554	CHEK1	chr11	125625162	125676255	+	chr11	125495057	125546150	+
ENSG00000134940	ACRV1	chr11	125671521	125680874	-	chr11	125541416	125550769	-
ENSG00000171053	PATE1	chr11	125746278	125749867	+	chr11	125616173	125619762	+
ENSG00000196844	PATE2	chr11	125776112	125778828	-	chr11	125646007	125648723	-
ENSG00000236027	PATE3	chr11	125788126	125791600	+	chr11	125658021	125661495	+
ENSG00000237353	PATE4	chr11	125833315	125840072	+	chr11	125703210	125709967	+
ENSG00000198331	HYLS1	chr11	125883613	125900846	+	chr11	125753508	125770741	+
ENSG00000110060	PUS3	chr11	125893484	125903224	-	chr11	125763379	125773119	-
ENSG00000109832	DDX25	chr11	125903347	125943702	+	chr11	125773242	125813597	+
ENSG00000283703	VSIG10L2	chr11	125946043	125958647	+	chr11	125815938	125828542	+
ENSG00000064309	CDON	chr11	125955795	126063335	-	chr11	125825690	125933230	-
ENSG00000165526	RPUSD4	chr11	126202094	126211692	-	chr11	126071989	126081587	-
ENSG00000197798	FAM118B	chr11	126211686	126263051	+	chr11	126081581	126132946	+
ENSG00000182934	SRPRA	chr11	126262911	126269144	-	chr11	126132806	126139039	-
ENSG00000110074	FOXRED1	chr11	126269023	126278132	+	chr11	126138918	126148027	+
ENSG00000150455	TIRAP	chr11	126282496	126298845	+	chr11	126152391	126168740	+
ENSG00000110063	DCPS	chr11	126304046	126350005	+	chr11	126173941	126219900	+
ENSG00000110080	ST3GAL4	chr11	126354676	126440344	+	chr11	126224571	126310239	+
ENSG00000149571	KIRREL3	chr11	126423357	127003460	-	chr11	126293252	126873355	-
ENSG00000134954	ETS1	chr11	128458760	128587606	-	chr11	128328655	128457501	-
ENSG00000151702	FLI1	chr11	128686534	128813267	+	chr11	128556429	128683162	+
ENSG00000151704	KCNJ1	chr11	128836314	128874671	-	chr11	128706209	128744566	-
ENSG00000120457	KCNJ5	chr11	128890452	128921163	+	chr11	128760347	128791058	+
ENSG00000120471	TP53AIP1	chr11	128934730	128943399	-	chr11	128804625	128813294	-
ENSG00000134909	ARHGAP32	chr11	128965059	129279324	-	chr11	128834954	129149219	-
ENSG00000043039	BARX2	chr11	129375847	129452279	+	chr11	129245742	129322174	+
ENSG00000151715	TMEM45B	chr11	129815790	129861265	+	chr11	129685685	129731160	+
ENSG00000170322	NFRKB	chr11	129863635	129895590	-	chr11	129733530	129765485	-
ENSG00000170325	PRDM10	chr11	129899705	130002853	-	chr11	129769600	129872748	-
ENSG00000084234	APLP2	chr11	130068146	130144811	+	chr11	129938041	130014706	+
ENSG00000149418	ST14	chr11	130159745	130210367	+	chr11	130029640	130080262	+
ENSG00000196323	ZBTB44	chr11	130226676	130314917	-	chr11	130096571	130184812	-
ENSG00000134917	ADAMTS8	chr11	130404922	130428609	-	chr11	130274817	130298504	-
ENSG00000166106	ADAMTS15	chr11	130448644	130476645	+	chr11	130318539	130346540	+
ENSG00000120451	SNX19	chr11	130866249	130916479	-	chr11	130736144	130786374	-
ENSG00000182667	NTM	chr11	131370477	132336822	+	chr11	131240372	132206716	+
ENSG00000183715	OPCML	chr11	132414976	133532501	-	chr11	132284870	133402396	-
ENSG00000166118	SPATA19	chr11	133840630	133845538	-	chr11	133710525	133715433	-
ENSG00000080854	IGSF9B	chr11	133896437	133956968	-	chr11	133766332	133826863	-
ENSG00000166086	JAM3	chr11	134068997	134152001	+	chr11	133938892	134021896	+
ENSG00000151503	NCAPD3	chr11	134150112	134225504	-	chr11	134020007	134095398	-
ENSG00000151502	VPS26B	chr11	134224612	134247794	+	chr11	134094506	134117688	+
ENSG00000151500	THYN1	chr11	134248269	134253370	-	chr11	134118163	134123264	-
ENSG00000151498	ACAD8	chr11	134253513	134265855	+	chr11	134123407	134135749	+
ENSG00000166105	GLB1L3	chr11	134274244	134319579	+	chr11	134144138	134189473	+
ENSG00000149328	GLB1L2	chr11	134331885	134378341	+	chr11	134201779	134248235	+
ENSG00000109956	B3GAT1	chr11	134378503	134412242	-	chr11	134248397	134282136	-
ENSG00000120645	IQSEC3	chr12	66766	178455	+	chr12	175932	287621	+
ENSG00000111181	SLC6A12	chr12	190068	220144	-	chr12	299234	329310	-
ENSG00000010379	SLC6A13	chr12	220620	262873	-	chr12	329786	372039	-
ENSG00000073614	KDM5A	chr12	280056	389320	-	chr12	389222	498486	-
ENSG00000120647	CCDC77	chr12	389272	442644	+	chr12	498438	551810	+
ENSG00000139044	B4GALNT3	chr12	459922	563509	+	chr12	569088	672675	+
ENSG00000171840	NINJ2	chr12	562851	663742	-	chr12	672017	772908	-
ENSG00000060237	WNK1	chr12	752535	911452	+	chr12	861701	1020618	+
ENSG00000002016	RAD52	chr12	910869	990053	-	chr12	1020035	1099219	-
ENSG00000082805	ERC1	chr12	989997	1495933	+	chr12	1099163	1605099	+
ENSG00000111186	WNT5B	chr12	1529853	1647243	+	chr12	1639019	1756409	+
ENSG00000171823	FBXL14	chr12	1565992	1594581	-	chr12	1675158	1703747	-
ENSG00000006831	ADIPOR2	chr12	1688573	1788680	+	chr12	1797739	1897846	+
ENSG00000151062	CACNA2D4	chr12	1791962	1918666	-	chr12	1901128	2027832	-
ENSG00000166159	LRTM2	chr12	1820266	1836753	+	chr12	1929432	1945919	+
ENSG00000151065	DCP1B	chr12	1946051	2004535	-	chr12	2055217	2113701	-
ENSG00000151067	CACNA1C	chr12	1970771	2697950	+	chr12	2079937	2807116	+
ENSG00000004478	FKBP4	chr12	2794289	2805423	+	chr12	2903455	2914589	+
ENSG00000111203	ITFG2	chr12	2812621	2859791	+	chr12	2921787	2968957	+
ENSG00000053702	NRIP2	chr12	2825347	2835544	-	chr12	2934513	2944710	-
ENSG00000283297	TEX52	chr12	2849045	2857039	-	chr12	2958211	2966205	-
ENSG00000111206	FOXM1	chr12	2857675	2877174	-	chr12	2966841	2986340	-
ENSG00000171792	RHNO1	chr12	2876257	2889524	+	chr12	2985423	2998690	+
ENSG00000078246	TULP3	chr12	2877222	2941138	+	chr12	2986388	3050304	+
ENSG00000197905	TEAD4	chr12	2959329	3040676	+	chr12	3068495	3149842	+
ENSG00000011105	TSPAN9	chr12	3077354	3286564	+	chr12	3186520	3395730	+
ENSG00000111218	PRMT8	chr12	3381348	3593977	+	chr12	3490514	3703143	+
ENSG00000130038	CRACR2A	chr12	3606632	3764819	-	chr12	3715798	3873985	-
ENSG00000111224	PARP11	chr12	3791046	3873448	-	chr12	3900212	3982614	-
ENSG00000118971	CCND2	chr12	4269770	4306933	+	chr12	4378936	4416099	+
ENSG00000078237	TIGAR	chr12	4307762	4360028	+	chr12	4416928	4469194	+
ENSG00000118972	FGF23	chr12	4368226	4379712	-	chr12	4477392	4488878	-
ENSG00000111241	FGF6	chr12	4428154	4445815	-	chr12	4537320	4554981	-
ENSG00000047621	FERRY3	chr12	4487734	4538519	-	chr12	4596900	4647685	-
ENSG00000111247	RAD51AP1	chr12	4538797	4560254	+	chr12	4647963	4669420	+
ENSG00000010219	DYRK4	chr12	4562207	4615302	+	chr12	4671373	4724468	+
ENSG00000111254	AKAP3	chr12	4613382	4649072	-	chr12	4722548	4758238	-
ENSG00000139180	NDUFA9	chr12	4649094	4694317	+	chr12	4758260	4803483	+
ENSG00000130035	GALNT8	chr12	4720266	4851927	+	chr12	4829432	4961093	+
ENSG00000151079	KCNA6	chr12	4809333	4813318	+	chr12	4918499	4922484	+
ENSG00000111262	KCNA1	chr12	4909904	4918256	+	chr12	5019070	5027422	+
ENSG00000130037	KCNA5	chr12	5043878	5046788	+	chr12	5153044	5155954	+
ENSG00000185652	NTF3	chr12	5432107	5521536	+	chr12	5541273	5630702	+
ENSG00000047617	ANO2	chr12	5531868	5946232	-	chr12	5641034	6055398	-
ENSG00000110799	VWF	chr12	5948876	6124770	-	chr12	6058042	6233936	-
ENSG00000010278	CD9	chr12	6199714	6238271	+	chr12	6308880	6347437	+
ENSG00000008323	PLEKHG6	chr12	6310224	6328934	+	chr12	6419390	6438100	+
ENSG00000067182	TNFRSF1A	chr12	6328756	6342114	-	chr12	6437922	6451280	-
ENSG00000111319	SCNN1A	chr12	6346842	6383917	-	chr12	6456008	6493083	-
ENSG00000111321	LTBR	chr12	6375044	6391571	+	chr12	6484210	6500737	+
ENSG00000139193	CD27	chr12	6444940	6451718	+	chr12	6554106	6560884	+
ENSG00000139192	TAPBPL	chr12	6451689	6466517	+	chr12	6560855	6575683	+
ENSG00000139190	VAMP1	chr12	6462236	6470677	-	chr12	6571402	6579843	-
ENSG00000111639	MRPL51	chr12	6491885	6493846	-	chr12	6601051	6603012	-
ENSG00000010292	NCAPD2	chr12	6493355	6531970	+	chr12	6602521	6641136	+
ENSG00000111640	GAPDH	chr12	6534011	6538930	+	chr12	6643177	6648096	+
ENSG00000010295	IFFO1	chr12	6538960	6556102	-	chr12	6648126	6665268	-
ENSG00000111641	NOP2	chr12	6556862	6568691	-	chr12	6666028	6677857	-
ENSG00000111642	CHD4	chr12	6570080	6614982	-	chr12	6679246	6724148	-
ENSG00000184574	LPAR5	chr12	6618834	6636444	-	chr12	6728000	6745610	-
ENSG00000111644	ACRBP	chr12	6638074	6647433	-	chr12	6747240	6756599	-
ENSG00000111653	ING4	chr12	6650299	6663148	-	chr12	6759465	6772314	-
ENSG00000126746	ZNF384	chr12	6666476	6689572	-	chr12	6775642	6798738	-
ENSG00000139200	PIANP	chr12	6693790	6700848	-	chr12	6802956	6810014	-
ENSG00000111652	COPS7A	chr12	6724013	6731875	+	chr12	6833179	6841041	+
ENSG00000089693	MLF2	chr12	6747985	6768932	-	chr12	6857151	6878098	-
ENSG00000159335	PTMS	chr12	6765515	6770952	+	chr12	6874681	6880118	+
ENSG00000089692	LAG3	chr12	6772359	6778455	+	chr12	6881525	6887621	+
ENSG00000010610	CD4	chr12	6786857	6820807	+	chr12	6896023	6929973	+
ENSG00000250510	GPR162	chr12	6821623	6829972	+	chr12	6930789	6939136	+
ENSG00000110811	P3H3	chr12	6828380	6839854	+	chr12	6937545	6949018	+
ENSG00000111664	GNB3	chr12	6839953	6847393	+	chr12	6949117	6956557	+
ENSG00000111665	CDCA3	chr12	6844792	6851318	-	chr12	6953956	6960482	-
ENSG00000111667	USP5	chr12	6852121	6866632	+	chr12	6961285	6975796	+
ENSG00000111669	TPI1	chr12	6867118	6870948	+	chr12	6976282	6980112	+
ENSG00000111671	SPSB2	chr12	6870933	6889358	-	chr12	6980097	6998522	-
ENSG00000010626	LRRC23	chr12	6873568	6914241	+	chr12	6982732	7023405	+
ENSG00000111674	ENO2	chr12	6913744	6923707	+	chr12	7022908	7032870	+
ENSG00000111676	ATN1	chr12	6924462	6942322	+	chr12	7033625	7051485	+
ENSG00000111678	C12orf57	chr12	6942937	6946003	+	chr12	7052100	7055166	+
ENSG00000111679	PTPN6	chr12	6946416	6961316	+	chr12	7055579	7070479	+
ENSG00000215021	PHB2	chr12	6965326	6970841	-	chr12	7074489	7080004	-
ENSG00000126749	EMG1	chr12	6970804	6979936	+	chr12	7079967	7089098	+
ENSG00000111684	LPCAT3	chr12	6976175	7018538	-	chr12	7085337	7125842	-
ENSG00000182326	C1S	chr12	6988258	7071281	+	chr12	7096350	7178585	+
ENSG00000159403	C1R	chr12	7080212	7092540	-	chr12	7187512	7245203	-
ENSG00000139178	C1RL	chr12	7089586	7109245	-	chr12	7242182	7261841	-
ENSG00000139194	RBP5	chr12	7115735	7128889	-	chr12	7268331	7281485	-
ENSG00000139182	CLSTN3	chr12	7128076	7158945	+	chr12	7280672	7311541	+
ENSG00000139197	PEX5	chr12	7188652	7218574	+	chr12	7341248	7371170	+
ENSG00000215009	ACSM4	chr12	7304071	7328719	+	chr12	7456667	7481315	+
ENSG00000177675	CD163L1	chr12	7346684	7479897	-	chr12	7499280	7632493	-
ENSG00000177575	CD163	chr12	7470810	7503910	-	chr12	7623406	7656506	-
ENSG00000111701	APOBEC1	chr12	7649399	7665908	-	chr12	7801995	7818504	-
ENSG00000184344	GDF3	chr12	7689783	7695775	-	chr12	7842379	7848371	-
ENSG00000187569	DPPA3	chr12	7711401	7717561	+	chr12	7863997	7870157	+
ENSG00000198178	CLEC4C	chr12	7724645	7751620	-	chr12	7877241	7904216	-
ENSG00000205857	NANOGNB	chr12	7765215	7774121	+	chr12	7917811	7926717	+
ENSG00000111704	NANOG	chr12	7787793	7799146	+	chr12	7940389	7951742	+
ENSG00000173262	SLC2A14	chr12	7812511	7891148	-	chr12	7965107	8043744	-
ENSG00000059804	SLC2A3	chr12	7919229	8019007	-	chr12	8071825	8171603	-
ENSG00000065970	FOXJ2	chr12	8032697	8055522	+	chr12	8185293	8208118	+
ENSG00000171860	C3AR1	chr12	8056843	8066374	-	chr12	8209439	8218970	-
ENSG00000089818	NECAP1	chr12	8076938	8097881	+	chr12	8229534	8250477	+
ENSG00000111729	CLEC4A	chr12	8123616	8138607	+	chr12	8276212	8291203	+
ENSG00000196946	ZNF705A	chr12	8157014	8188537	+	chr12	8309610	8341133	+
ENSG00000171847	FAM90A1	chr12	8221259	8227621	-	chr12	8373855	8380217	-
ENSG00000205846	CLEC6A	chr12	8455961	8478330	+	chr12	8608557	8630926	+
ENSG00000166527	CLEC4D	chr12	8509474	8522366	+	chr12	8662070	8674962	+
